Month,Forecast,Lower Bound,Upper Bound
2025-01-31,547339.2482934055,218719.11771288817,875959.3788739229
2025-02-28,427355.8219116889,98671.07884616952,756040.5649772083
2025-03-31,418001.01316046447,87869.34205079329,748132.6842701356
2025-04-30,476106.07566283824,108915.42869222019,843296.7226334563
2025-05-31,449588.38288153044,73478.89906348527,825697.8666995757
2025-06-30,437834.1044034049,56023.706917873875,819644.5018889359
2025-07-31,455787.8589758195,58677.51607233769,852898.2018793013
2025-08-31,451522.02008143027,43621.93438379612,859422.1057790644
2025-09-30,445817.3179238859,29681.94828809332,861952.6875596785
2025-10-31,450718.1178065606,23840.027695924975,877596.2079171962
2025-11-30,450659.80627779925,13723.568837221828,887596.0437183767
2025-12-31,448518.88262273883,2694.928445765341,894342.8367997124
