Month,Forecasted Ridership,Lower Bound,Upper Bound
2025-01-31,303720.3369972912,65698.70583120038,541741.968163382
2025-02-28,226661.835594345,-18440.986017898627,471764.65720658866
2025-03-31,234326.6346400657,-17731.837252542493,486385.1065326739
2025-04-30,282654.4511229577,-16149.024334422837,581457.9265803383
2025-05-31,247166.2442010119,-63114.11827286647,557446.6066748903
2025-06-30,251158.45080424479,-70259.42964228918,572576.3312507787
2025-07-31,273926.95675492624,-71781.97965626902,619635.8931661216
2025-08-31,248553.58567560124,-109810.95123532382,606918.1225865263
2025-09-30,262140.86837670277,-108491.42638719146,632773.163140597
2025-10-31,266247.3138115384,-121261.51278314926,653756.140406226
2025-11-30,237368.8513853877,-162593.05154611968,637330.754316895
2025-12-31,249437.77274580338,-162624.72012689905,661500.2656185058
